,name,instructions,ingredients
10,The Best Weeknight Pasta Sauce,"Add the ground beef and olive oil to a pot and sauté over medium until the beef is cooked through (about 5 minutes). If you’re using a higher fat content beef (10% or higher), you may want to drain the excess fat once the beef has browned. While the beef is cooking, finely dice the onion. Add the diced onion and butter to the cooked beef. Continue to sauté until the onion is soft and translucent (about 5 minutes). Next, add the crushed tomatoes, Italian seasoning blend, and some freshly cracked pepper (10-15 cranks of a pepper mill). Stir everything to combine. Place a lid on the pot and allow it to come up to a simmer. Once simmering, reduce the heat to low and let the sauce simmer for 30 minutes. After a minimum of 30 minutes simmering, add about 1/2 tsp salt, stir to combine, then taste and add more if needed. The flavor of the sauce will deepen and the complexities will pop once the salt is added. Serve over pasta or your favorite roasted vegetables.","1/2  lb. ground beef; 1 Tbsp  olive oil; 1 small onion; 2 Tbsp butter; 28 oz. crushed tomatoes; 1/2 tsp Italian seasoning blend; Freshly cracked pepper; Salt, to taste"
11,Curried Chickpea Couscous Salad,"Prepare the couscous: In a medium pot, add the water and salt and bring to a boil. Immediately stir in the couscous and return to a boil. Reduce heat to low, cover, and cook for 8 to 10 minutes until all of the liquid is absorbed. Transfer to a large sieve and rinse the couscous with cold water for about 1 minute, until couscous has cooled. Transfer to a large bowl. In the large bowl with the couscous, add in the chickpeas, shredded carrot, bell pepper, parsley, cilantro, onion, dates or cherries and mix of nuts. Prepare the dressing, then pour over salad and use tongs or a large spoon to toss the salad with the dressing until well coated. Taste and add extra salt and pepper, as necessary. To store: Store leftovers in an airtight container in the fridge for up to 5 days.","Couscous:; 1 ½ cups water; ½ teaspoon kosher salt; 1 cup pearl couscous*; For the salad:; 1 (15 ounce) can garbanzo beans, drained and rinsed; 1 large carrot, shredded; 1 red bell pepper, diced; ⅓ cup chopped fresh parsley; ⅓ cup chopped fresh cilantro; ¼ cup finely diced red onion; ½ cup chopped Medjool dates or dried tart cherries; ⅔ cup mix of toasted sliced almonds, roasted cashews and roasted pistachios (whatever mix of these nuts you have on hand is great!); Dressing:; 1 batch curry tahini dressing; Extra fresh ground salt and pepper, to taste"
12,Tahini Chocolate Chip Cookie Dough Bites,"In a medium bowl, mix tahini and coconut oil together until smooth. Next stir in maple syrup and vanilla extract until well combined. Add in almond flour, 2 tablespoons coconut flour and salt and stir until a cookie dough consistency forms. Allow dough to sit for 5 minutes so that it thickens up. It should be doughy and moist but not overly wet; if it’s too wet add another ½ tablespoon of coconut flour. Stir in chocolate chips. Grab about a tablespoonful of dough and roll into a ball and place on a baking sheet lined with parchment paper. You should get about 10 cookie dough balls. Freeze for 10-15 minutes. While the cookie dough is freezing, break chocolate up into chunks and place into a microwave safe bowl with coconut oil. Microwave on high in 30 second intervals until chocolate is melted and smooth. Alternatively you can melt in a small saucepan over low heat. Use a fork to dip each cookie dough ball into melted chocolate and stir to fully coat, then place cookie dough ball back on the baking sheet. You likely will not use all of the chocolate. Freeze again for 10 minutes, then take back out of the freezer and use a spoon to drizzle the cookie dough balls with remaining melted chocolate for a pretty look on top. Place back in freeze for 5 minutes, then enjoy! Makes 10.","½ cup (115g) drippy tahini; 2 tablespoons coconut oil, melted and cooled; 4 tablespoons pure maple syrup; 1 teaspoon vanilla extract; ½ cup (56g) packed fine blanched almond flour; 2-3 tablespoons coconut flour (start with 2); ¼ teaspoon salt; 3 tablespoons chocolate chips; For the dark chocolate coating:; 1 (3 ounce) 70% dark chocolate bar; 1 teaspoon coconut oil"
13,Honey Salmon with Ginger Scallion Sauce,"Prep the oven and baking sheet. Heat oven to 425°F and line a large baking sheet with parchment paper. Prep the salmon. Place the salmon filets skin-side-down at the end of the prepared baking sheet. Whisk together the soy sauce and honey in a small bowl until combined, then brush it evenly on top of the salmon. Prep the green beans. Lay the green beans in a tight pile on the other end of the baking sheet and drizzle with the olive oil. Toss until evenly coated, then arrange the green beans in an even layer covering the rest of the baking sheet. Season the green beans and the salmon generously with salt and pepper. Roast. Bake for 10 minutes, or until the salmon is cooked to your liking. (I prefer to remove my salmon when the internal temperature measures 135°F, as it will continue to cook slightly more as it rests. Please note that cooking time will vary depending on the thickness of your salmon filets.) Transfer the pan to a wire cooling rack and drizzle the salmon and green beans with the juice of 1 lime. Make the ginger scallion sauce. Heat the oil in a small saucepan over medium-high heat until tiny bubbles begin to form around the sides of the pan. (If you drop a scallion in the oil, it should sizzle vigorously.) While the oil is heating, combine the white parts of the scallions, ginger and garlic in a small heat-proof* (see note below) bowl or measuring cup. Once the oil is hot, very carefully pour it on top of the scallion mixture (it will sizzle and sputter!) and gently stir to combine. Add the soy sauce and the green parts of the scallions stir to combine. Taste and season with extra salt and pepper as needed. Serve. Serve the salmon and green beans over rice, topped with the ginger scallion sauce and served with extra lime wedges for squeezing, and enjoy!","4 salmon filets; 2 teaspoons soy sauce; 2 tablespoons honey; fine sea salt and freshly-ground black pepper; 1 tablespoon olive oil; 12 ounces French green beans; 2 limes; 4 cups cooked brown or white rice; 1/2 cup avocado oil (or another mild high-heat oil, such as sunflower, grapeseed, or vegetable oil); 6 scallions (~75 grams), thinly sliced; 2 tablespoons finely minced or grated fresh ginger; 2 cloves garlic, finely minced or grated; 1 tablespoon soy sauce"
14,Classic Meatloaf,"Preheat the oven to 350ºF. In a small bowl whisk together the egg, milk, and Worcestershire sauce. In a separate small bowl, stir together the breadcrumbs, Italian seasoning, garlic powder, salt, and pepper. Mince the onion.  Add the ground beef, egg mixture, breadcrumb mixture, and minced onion to a large bowl. Use your hands to mix the ingredients together until evenly combined. Avoid over mixing. Place the meatloaf mixture on a rimmed baking dish and shape it into a loaf that is approximately 4-inches wide, 8-inches long, and 2-inches tall. In a separate small bowl, stir together the glaze ingredients (ketchup, brown sugar, Worcestershire sauce, and mustard). Spread the glaze evenly over the top and sides of the meatloaf. Bake the meatloaf for 50-55 minutes, or until the internal temperature reaches 165ºF. Allow the meatloaf to rest for 5-10 minutes after baking, then slice and serve.",1 large egg; 1/3 cup milk; 1 tsp Worcestershire sauce; 1/2 cup plain breadcrumbs; 1 tsp Italian seasoning; 1/2 tsp garlic powder; 1 tsp salt; 1/4 tsp freshly cracked black pepper; 1/2 cup minced onion; 1.5 lbs. ground beef (85/15); 1/2 cup ketchup; 1 Tbsp brown sugar; 1 Tbsp Worcestershire sauce; 1 tsp yellow mustard
15,Potato & cauliflower curry,"For the paratha dough, combine the chapati flour in a large bowl with ¾ teaspoon salt and about 200ml cold water, then knead for 10–12 minutes. Shape into a ball, cover with a damp tea towel and leave to rest. Heat most of the vegetable oil in a pan over a medium heat and sauté the onion, garlic and ginger, stirring, for 6–8 minutes, until softening. With a slotted spoon, remove the onion mixture to a bowl and set aside. Toast the mustard and cumin seeds in a dry pan over a medium heat for 30 seconds, stirring constantly with a wooden spoon, until fragrant. Transfer to a large saucepan with the rest of the vegetable oil, tomatoes, curry leaves and remaining spices. Cook for a further 5 minutes over a medium heat. Add the reserved onion mixture, potatoes and chillies and season generously with salt and pepper. Pour in about 600ml water, or enough to just cover the mixture. Bring to a simmer over a low heat, cover with a lid and continue to simmer for 8–10 minutes. Add the cauliflower and cook for another 8–10 minutes, or until the sauce has thickened and the potatoes and cauliflower are tender. Meanwhile, cook the parathas. Place a flat, cast-iron, Indian-style tava over a medium-high heat. If you don’t have one of these, use a frying pan or flat griddle. Divide the dough into 6–8 balls. Lightly flour a flat surface and roll the first ball into a 12cm circle. Lightly brush with the melted butter and place on the hot tava or pan. Cook for a few minutes on each side, or until the bread begins to blacken and blister. Repeat with the remaining dough. Serve immediately with the curry and a bowl of yoghurt on the side.","3 tablespoons vegetable oil; 2 onions , sliced; 4 cloves of garlic , chopped; 6cm piece of ginger , peeled and chipped; 1 teaspoon mustard seeds; 1 teaspoon cumin seeds; 3 tomatoes , grated; 6 curry leaves; 1 teaspoon ground coriander; 1 teaspoon ground cumin; 1 teaspoon ground tumeric; ½ teaspoon cayenne pepper; 1 kg maris piper potatoes , or any other floury potatoes thickly diced; 1-2 green chillies , deseeded and sliced; 1 large cauliflower , cut into florets just larger than the potato; Greek-style yogurt , to serve; PARATHAS; 300 g chapati flour , plus extra for dusting; 2 tablespoons butter , melted"
16,Chicken noodle stir-fry,"Place a large non-stick frying pan on a medium heat and toast the peanuts as it heats up, tossing regularly, then remove and set aside, leaving the pan on the heat. Meanwhile, score the chicken lengthways at 1cm intervals, going about halfway through. In a bowl, toss the chicken with 1 tablespoon each of olive oil, red wine vinegar and black bean sauce to coat. Cook in the hot pan for 3 minutes on each side, or until dark, gnarly and cooked through. Cook the noodles in a large pan of boiling salted water according to the packet instructions. Trim the broccoli (halving any thick stalks lengthways) and add to the water for the last 2 minutes. Remove the chicken to a board. Use tongs to carefully drag the just-cooked noodles and broccoli with a bit of their water straight into the frying pan. Pound half the peanuts in a pestle and mortar until fine, toss into the pan with the remaining black bean sauce until well mixed, then divide between your plates. Slice the chicken and place on top, scatter over the remaining peanuts, drizzle with a little extra virgin olive oil, and dig in.",30 g unsalted peanuts; 2 x 120 g free-range skinless chicken breasts; 2 tablespoons black bean sauce; 150 g medium free-range egg noodles; 200 g tenderstem broccoli
17,Air Fryer Hard (or Soft) Boiled Eggs,"Heat air fryer to 275°F. Add eggs to the air fryer basket in a single layer. Cook for 10 minutes for soft-boiled eggs. For jammy eggs, cook 12. For hard-boiled eggs, cook for 15 minutes. Carefully remove eggs from the air fryer into an ice water bath. Rest in the water bath for 3-5 minutes then peel and enjoy!", 4-12 large eggs
18,Chicken Gyros,"Tzatziki sauce: combine yogurt, garlic, dill, and lemon juice in a bowl. Stir in diced cucumber and season to taste with salt and pepper. Refrigerate. Chicken Marinade: Add chicken to a large bowl or ziplock bag. Combine marinade ingredients and pour over chicken. Stir well to coat and marinate for 1-4 hours.  Grill: Heat grill to medium and oil the grates. Remove chicken from marinade, letting any excess sauce drip off. Grill chicken for a few minutes on each side, flipping once, until cooked through. Remove to a plate to rest before chopping into bite-size pieces. Assemble Gyros: Toast or warm your pitas. Layer with a big scoop of chopped chicken, lettuce, tomato, red onion, cucumber and tzatziki.",2 pounds boneless skinless chicken breasts*; 2 Tablespoons olive oil; 2 Tablespoons lemon juice; 2 teaspoons smoked paprika; 2 teaspoons ground cumin; 2 cloves garlic; 1 teaspoon ground turmeric; 1 teaspoon ground coriander; 1 teaspoon kosher salt; 1/4 teaspoon freshly ground black pepper; 1/4 teaspoon onion powder; 1/4 teaspoon ground cinnamon; 1/8 teaspoon crushed red pepper flakes; 1 cup plain Greek yogurt; 2 cloves garlic; 1/2 teaspoon dried dill weed; 2 teaspoon lemon juice; salt and freshly ground black pepper; 1 inch piece of an english cucumber; 6 pitas; 1 small romaine heart; 1 cup cherry tomatoes; 1/2 of a red onion; 1/2 of a English cucumber; crumbled feta cheese
19,Fluffy Homemade Pancakes,"Whisk together the flour, baking powder, and salt in a bowl. In a separate bowl, whisk together the milk, egg, melted butter, sugar, and vanilla extract. Pour the bowl of wet ingredients into the bowl of dry ingredients and stir just until combined. DO NOT overmix. The mixture should be thick, but still pourable, and a little bit lumpy. If it's not pourable, add an additional tablespoon or two of milk until it is thick, but pourable. Let the batter rest for 15 minutes. Heat a large skillet or griddle over medium. Once hot add enough cooking oil to coat the surface (I use about ½ tsp per pancake). Add the pancake batter to the hot griddle, ¼ cup at a time. Use the back of the measuring cup to spread the batter into a 4.5-inch diameter circle. Cook the pancakes until bubbles form over the surface and begin to pop, the edges of the pancakes look dry, and the bottom is golden brown (about 60 seconds). Flip the pancakes and cook on the second side until golden brown (about 30 seconds). Repeat with the remaining batter, adding more oil to the skillet between batches or as needed, until all of the pancakes have been cooked. Keep the pancakes warm on a plate under a towel or in a warm oven until all of the pancakes have been cooked. Serve warm with your favorite toppings!",1 cup all-purpose flour; 1.5 tsp baking powder; 1/2 tsp salt; ¾ cup warm milk*; 2 Tbsp melted butter; 1 large egg; 2 Tbsp sugar; 1/2 tsp vanilla extract; 4 tsp cooking oil
20,Slow Cooker Gochujang Chicken Sandwiches,"In a large slow cooker, add the chicken broth, soy sauce, gochujang, sesame oil, rice vinegar, brown sugar, ginger, garlic, and cornstarch. Whisk together until well-combined. Place the chicken thighs on top and flip over to coat the chicken with the sauce. Cook on low for 6 hours or on high for 2 to 3 hours. Use a slotted spoon or a large fork to transfer the chicken to a sheet pan (this will help catch all the juices). Shred chicken with two forks and place back in the slow cooker with the sauce and stir. Serve immediately or turn the slow cooker to the warm setting and serve later. Once ready to serve, use a slotted spoon to add chicken to a toasted bun, top with slaw and remaining bun. You can also serve these with sliced cheddar cheese if you prefer. YUM! Serves 4 to 6.","¼ cup low-sodium chicken broth or filtered water; ¼ cup low sodium soy sauce; 2 to 3 tablespoons gochujang, plus more to taste; 1 tablespoon toasted sesame oil; 2 tablespoons rice vinegar; 2 tablespoons brown sugar (or coconut sugar); 1 tablespoon grated ginger; 3 garlic cloves, minced; 1 teaspoon cornstarch or arrowroot starch; 1 ½-2 pounds boneless skinless chicken thighs; For serving:; 4 to 6 hamburger buns, gluten free if desired; Cucumber Jalapeno Cilantro Cabbage Slaw"
